,input,output
267,((s→(t∨s))(q∨q))⊢(q∨(s→(t∨s))),(s→(p→q))(p∨s)((∨(p∨∨))()∨((∨()))
268,((q∧r)q)⊢((q∧r)∨p),(q∧p)q((t∧p)∨r)(()∨)
269,((p→p)r)⊢(t∨r),(s→s)p((∨→))∨))
270,((s∨q)((¬r)→s))⊢((s∨q)∨s),(s∨p)((¬r)→s)((∨∨p)∨))(()→()∨)
271,((t∧t)s)⊢((t∧t)∨t),(s∧s)q((t∧p)∨r)(()∨
272,(((s∨p)∧s)((p∨r)∧t))⊢(((s∨p)∧s)→(((s∨p)∧s)→((p∨r)∧t))),((s∧q)∧))((∨→r)→))→((→→r)))))→((→→r)))))→((→→r)))))→((→→r))))))()→→r)→))
273,(((p∨s)∨q)s)⊢(((p∨s)∨q)→(q∨((p∨s)∨q))),((q∨q)∧q)r(p∨(((∨p))p))(((s∧r)∨q)→((∨((p∨p)∨p)))
274,(q(p∨r))⊢(r∨(p∨r)),q(s∨r)(t∨()(t∨((∨∨))
275,((t∧p)r)⊢t,(s∧q)q(
276,(q(q→s))⊢((q→s)∨t),t(s→r)(t∨()→())((∨→))∨)
277,(q(s→t))⊢(t∨(s→t)),t(s→r)(t∨(s→p))(∨(→))
278,(t(s∧r))⊢(q∨(r∨t)),t(s∧p)(p∨p)(t∨(q∨q))
279,(((q→q)∧p)(q∨r))⊢(((q→q)∧p)∧p),((q→t)∧q)(q∧s)q(((p→t)∧p)→q)
280,((q→(r∧s))q)⊢r,(s→(p∧q))s((t→(r∧p))∧p)s
281,((s∨r)(s∧p))⊢(s∨(s∧p)),(q∨s)(p∧p)((∨(p∧∧))(∨(∧))
282,((s∧p)(q→t))⊢((s∧p)∨q),(q∧q)(s→p)((∨∧p)∨))((∧)∨)
283,(t(s∧r))⊢(t∨q),q(s∧p)((∨∨))
284,(s(t∧s))⊢(s∧t),q(r∧p)((∧∧r)
285,((t∨p)q)⊢(t∨p),(s∨p)s((∨∨))))
286,((q∨(p→q))(¬s))⊢(p∨(¬s)),(s∨(r→s))(¬s)((∨∨(s))))∨(¬))
287,((p∨t)s)⊢((s∨r)∨p),(t∨q)q((∨∨)((t∨()∨∨)
288,((r∨r)r)⊢(s∨(r∨r)),(t∨q)p(p∨()(t∨((∨∨))
289,(((r→s)∧q)t)⊢(t∨r),((t→t)∧t)s((∨∨)))
290,(((q→t)∧q)t)⊢(((q→t)∧q)→(q→t)),((t→t)∧q)p(t→r)(((s→t)∧s)→(q→t))
291,((q∧s)(r∧s))⊢r,(p∧p)(t∧s)s
292,((q∧q)(r∨p))⊢(q∨t),(q∧p)(p∨p)((s∨q)
293,(pr)⊢(p∨s),qq(t∨q)
294,((q→p)(q∨r))⊢((q∨r)∨q),(q→r)(p∨p)((∨∨p)∨))((r∨p)∨∨)
295,((p∨(¬p))t)⊢((p∨(¬p))∨r),(s∨(¬q))s((∨∨(¬p))∨q)((∨(¬)∨)
296,(s((r→p)∨q))⊢(t∨(s∨p)),p((q→t)∨s)(s∨s)(t∨(s∨s))
297,(((p→s)∨r)q)⊢((p→s)∨r),((t→t)∨s)s(((t→r)∨q)∧s)((s→p)∨p)
298,((q∨(¬s))q)⊢((q∨(¬s))∧q),(s∨(¬p))s((t∨(¬p))∧q)
299,((p∨(s∨q))r)⊢(s∨r),(t∨(p∨s))s((∨∨)(∨∨)
300,((t∧r)(p∨s))⊢(p∨(t∧r)),(q∧p)(p∨p)((∨(p∧∧))(∨(∧))
301,(r(t∧q))⊢(r∧q),q(r∧p)((∧∧r)
302,((q∨p)(q→s))⊢((q→s)∧((q→s)∨r)),(q∨r)(s→p)((p→p)∨s)((s→p)∧((s→p)∨s))
303,(((q→q)∧r)p)⊢(r∨q),((t→t)∧t)s((∨∨)))
304,(q(q∧(q→q)))⊢(p∨q),q(r∧(p→p))((∨∨))
305,(q((q→t)∧r))⊢((t∨q)∨s),q((q→p)∧p)(s∨p)((q∨p)∨s)
306,((r→p)r)⊢((r→p)∨s),(s→s)s((t→))∨t)((→)∨)
307,((p∨(r∧q))((p→r)→r))⊢(t∨((p→r)→r)),(s∨(p∨q))((p→s)∨s)((∨((s→s))∨))(∨((s→s)∨))
308,((r∧t)(q∨s))⊢((q∨s)→(t∨(q∨s))),(q∧p)(p∨s)(t∨(t∨s))((t∨p)∧(t∨(t∨s)))
309,((q∨(¬s))(t→(q∧s)))⊢(q∨(¬s)),(q∨(¬q))(r→(¬→s))(((((¬∨))∧(p∨((∧s))((r((¬→))
310,((r∧q)((t∧s)∨t))⊢((r∧q)∧r),(q∧p)((p→t)→t)q((r∧r)∧p)
311,((r∨r)t)⊢((r∨r)∧((r∨r)∨s)),(t∨p)p((t∨s)∨s)((t∨s)∧((p∨s)∨s))
312,(r(r∧(t∧t)))⊢(p∨(t∧t)),q(r∧(p∧p))(q∧p)(p∨(s∧p))
313,((t→r)s)⊢(s∨q),(s→s)q((∨→))∨))
314,(((¬s)∨r)((t→p)∨s))⊢(((¬s)∨r)∨p),((¬r)∨t)((p→t)∨s)(((¬()∨))∨∨))(((→))))∨
315,(((r∧t)→r)q)⊢((p∨q)∨q),((s∧p)→p)s(s∨s)((s∨t)∨s)
316,(((q∨s)∧q)(¬r))⊢(((q∨s)∧q)∨q),((s∨q)∧q)(¬s)((∨((q)∧()∨))))
317,(p(q→(t∨r)))⊢(q∨(p∨p)),r(t→(p∨s))(s∨p)(p∨(s∨s))
318,((t∨q)p)⊢(t∨q),(s∨p)p((∨∨)))(
319,(((¬r)∧p)t)⊢(t∧(¬r)),((¬r)∧q)q(¬()()∧(¬s))
320,((p∧t)(p→q))⊢(p∨(p∧t)),(q∧q)(p→p)((∨(p∧∧))(∨(∧))
321,(t(s∧s))⊢(t→(p∨t)),t(s∧p)(t∨p)(q→(q∨q))
322,((r∨s)(t→t))⊢(s∨(r∨s)),(q∨s)(p→p)((∨(p)∨))(p∨(p∨p))
323,(((s∧r)→q)p)⊢(p∨p),((s∧p)→p)s((∨r)()∨)
324,(t((s→r)∨t))⊢(t→(t∨r)),p((q→t)∨s)(s∨t)(t→(t∨q))
325,((¬s)(¬p))⊢(¬p),(¬s)(¬p)((¬p)∧(¬p))(¬p)
326,(q((s∧p)∧q))⊢(q→(q∨q)),q((s∧p)∧p)(q∨p)(q→(q∨q))
327,((t∨q)(s∨(¬q)))⊢(p∨(s∨(¬q))),(s∨q)(t∨(¬s))((∨(s)())()∨(q∨(¬)))
328,(t(t∧p))⊢(t∨t),q(s∧q)((∨∨))
329,((p∧t)t)⊢(q∨t),(s∧s)q((∨∨))
330,((r∨(s→t))(¬r))⊢(((¬r)∨r)∨r),(s∨(q∨s))(¬s)((¬s)∨s)(((¬p)∨s)∨r)
331,((t∨t)(r∨t))⊢((t∨t)∧(r∨t)),(q∨p)(p∨p)((t∨p)∧(t∨p))
332,(s(r∧q))⊢((r∧q)→q),p(s∧t)t((t∧t)→p)
333,((t∧t)((r∨t)→p))⊢t,(p∧p)((t→t)∧s)s
334,(q(q→r))⊢(q∨(t∨q)),t(s→p)(t∨p)(t∨(q∨q))
335,(((s∧r)∨p)r)⊢(p∨r),((s∧p)∨q)s((∨r)()∨)
336,(((q∨t)∧t)q)⊢(((q∨t)∧t)∧q),((q∨t)∧t)s(((t∨p)∧p)∧p)
337,((r∧t)(q∨(¬q)))⊢((r∧t)∨q),(s∧q)(t∨(¬q))((s∧()∨)))
338,(((s∧p)∧q)p)⊢(p∨q),((s∧p)∧p)p((∨∨)))
339,((t∧p)t)⊢((t∨q)∨s),(q∧s)q(t∨p)((t∨t)∨s)
340,(t(s→p))⊢(t∨s),q(t→s)(q∨()→))(∨)
341,((r∧r)q)⊢((r∧r)∧r),(p∧s)qt((r∧t)∧q)
342,(q(s∧(p∧r)))⊢(q∧(p∧r)),q(r∧(p∧p))(q∧()∧(∧∧t∧)))∧))
343,(q(t→q))⊢((p∨q)∨s),t(s→p)(t∨p)((t∨t)∨s)
344,((t∧(q∧p))(q∧(r∧t)))⊢t,(r→(p∧q))(q∧(t∨s))s(
345,((r∨p)s)⊢(r∨(q∨s)),(t∨p)p(p∨()(t∨((∨∨))
346,(((q∨r)∨s)t)⊢(t∧(t∨t)),((q∨p)∨s)s(t∨t)(t∧(t∨p))
347,(q(s∧r))⊢((q∨p)∨q),t(s∧p)(t∨p)((p∨q)∨q)
348,((s→p)(t∨q))⊢((s→p)∧(t∨q)),(q→s)(p∨p)((t→s)∧(t∨p))
349,((s→q)(¬t))⊢(p∨(s→q)),(s→q)(¬p)((∨(¬))))(())
350,((t→r)(q∧t))⊢((q∧t)∨p),(s→s)(s∧s)((∨∧s)∨))((∧)∨)
351,((p∧r)((q∨t)∧t))⊢((p∧r)∧t),(q∧p)((p→t)→t)(((r∧t)∧p)
352,((¬s)(q∧p))⊢((¬s)∨p),(¬p)(q∧p)(((¬))∨))
353,((t∨q)t)⊢(t∨r),(s∨p)p((∨∨))))
354,(t(t∨t))⊢((t∨t)∨r),t(s∨r)((∨∨)((r∨()∨∨)
355,((r→q)((s→t)∧p))⊢(p∨p),(q→p)((p→t)∧t)r(s∨r)
356,((s∨t)r)⊢(s∨t),(s∨p)p((∨∨))))
357,((t∨(t∨s))p)⊢((t∨(t∨s))∨t),(t∨(p∨s))s((∨∨((∨s))∨))((∨∨(∨))∨)
358,(q((¬t)∧p))⊢(¬t),q((¬r)∧p)s(¬p)
359,((s∧t)r)⊢((s∧t)∧r),(p∧s)qt((r∧t)∧s)
360,((q∨t)((q∨s)∧r))⊢(s∨(q∨s)),(q∨p)((p→t)∧s)(t∨()(∨)))
361,(r(s→(t∧p)))⊢(s∨(r∨s)),q(r→(q∧p))(q∨p)(s∨(p∨s))
362,(s(q∧q))⊢(s→((q∧q)∨p)),t(t∧p)((p∧p)∨t)(s∨((q∧q)∨s))
363,(t(p∧t))⊢((p∧t)∧(q∨(p∧t))),p(s∧p)(p∨(t∧s))((t∧q)∧(r∨(t∧q)))
364,((p∨(p→q))(t∧q))⊢(s∨(p∨(p→q))),(s∨(p∧q))(p∧s)((∨(p∧())()∨((∧)))
365,((p∨(r→s))(p→r))⊢((p→r)∨t),(s∨(p→q))(p→s)((s→()∨p)(→))
366,((t∨p)((t∧t)→q))⊢((t∨p)∨p),(q∨p)((s→t)→t)((∨∨p)∨()())))
367,((q∧s)(r∧s))⊢(p∨(q∧s)),(q∧q)(s∧p)((∨(p∧∧))(∨(∧))
368,(s(r∧q))⊢(s∨(s∨r)),t(s∧p)(p∨p)(t∨(q∨q))
369,((p→t)(s→p))⊢((p→t)∧(s→p)),(q→s)(p→p)((s→p)∧(t→p))
370,((q∧p)(p∨p))⊢(q∨t),(q∧p)(p∨p)((s∨q)
371,((t∨s)p)⊢(p∨(t∨s)),(t∨p)p(p∨()(t∨((∨∨))
372,((¬p)(r→q))⊢((r→q)∨p),(¬p)(p→s)((∨())∨))((→→)∨)
373,(((t→p)∨s)s)⊢((s∨p)∨r),((t→t)∨s)s(s∨s)((s∨t)∨s)
374,((¬p)(¬p))⊢(((¬p)∨p)∨r),(¬s)(¬p)((¬p)∨p)(((¬p)∨p)∨)
375,((q∨(p∧q))s)⊢((q∨(p∧q))∨s),(s∨(p∧q))s((∨∨(p∧p))∨s)((∨(∧))∨)
376,((t∧t)((r∨t)→p))⊢((t∧t)∧t),(q∧p)((p→t)→t)(((∧∧t)∧p)
377,(s(r→s))⊢((p∨(r→s))∨t),t(s→s)(t∨(t→p))((t∨(r→s))∨s)
378,(s(p∧(r→p)))⊢(s∨r),q(r∧(p→p))((∨∨))
379,((¬q)(¬p))⊢((t∨(¬q))∨t),(¬s)(¬p)(s∨(¬p))((s∨(¬p))∨p)
380,(p(r∨t))⊢(r∨(r∨t)),t(s∨r)(t∨()(t∨((∨∨))
381,((t∨s)q)⊢(q∧(t∨q)),(t∨p)p(p∨p)(q∧(t∨p))
382,((s∨r)(q∧(¬q)))⊢((q∧(¬q))∨q),(s∨s)(s∧(¬q))(((((¬∨))(()())
383,((¬s)(p∨(¬s)))⊢((¬s)∨q),(¬s)(p∨(¬s))((∨((∨)))(¬))())
384,(s(p∨s))⊢(s∨p),q(s∨r)(r∧()∨))(∨)
385,(r((s→p)∧r))⊢r,q((q→p)∧p)(q∧((q→r)∧p))q
386,((p→s)p)⊢(s∨p),(s→s)q((∨r))∨))
387,(((q∨r)∨t)q)⊢(r∨((q∨r)∨t)),((q∨p)∨s)s((∨((r∨∨))∨))(∨((∨)∨))
388,(r((t∧s)→q))⊢(r∨((t∧s)→q)),p((s∧p)→s)(s∨(((∧t)→q))(∨((∧))
389,((p→t)(t∧(r∧s)))⊢(r∧s),(s→p)(s∧(r∧p))((r∧p)∧(r∧(r∧p)))(s∧r)
390,(q(t∧s))⊢(s∨(t∧s)),p(s∧t)((∨(s∧t))(∨(∧))
391,(t(q→p))⊢(t→(r∨t)),t(s→p)(t∨p)(q→(q∨q))
392,((t→(s∧q))(q∧(s→s)))⊢(q∨q),(s→(p∧q))(q∧(s∨s))s(s∨s)
393,((t∨s)((s∨r)→r))⊢(t∨(t∨s)),(q∨p)((p→t)→t)((∨(p∨∨))))
394,((q∧r)r)⊢(r∨(q∧r)),(p∧p)s((∨((∧∧))(∨(∧))
395,((¬p)(p∨q))⊢((¬p)∨r),(¬s)(s∨p)((¬()∨))(((¬))∨)
396,(q(q∧t))⊢(r∨q),q(s∧p)((∨∨))
397,((s∧p)p)⊢(s∨(t∨(s∧p))),(s∧s)p(t∨(r∧s))(q∨(s∨(t∧q)))
398,((¬s)(p∧t))⊢((¬s)∧(q∨(¬s))),(¬p)(s∧s)(t∨(¬p))((¬p)∧(p∨(¬s)))
399,((p∧t)(p∧s))⊢((p∧t)∧(p∧s)),(q∧q)(p∧q)((t∧p)∧(r∧p))
400,(((t∧q)∨r)s)⊢(((t∧q)∨r)∨r),((s∧p)∨q)s(((t∧()(q)∨))(((q∧)∨)∨)
401,((r∨p)q)⊢(r∨(r∨p)),(t∨p)p(p∨()(t∨((∨∨))
402,(t(t∧q))⊢(t∨(t∧q)),p(s∧t)((∨(s∧t))(∨(∧))
403,((p∧t)s)⊢(s→(s∨s)),(s∧s)p(p∨p)(q→(q∨q))
404,((s∧(¬p))(p∧q))⊢((s∧(¬p))∨t),(s∧(¬q))(s∧s)(((∧(¬q))(()
405,(p((q→r)∧r))⊢(p∨(q→r)),q((q→t)∧t)(t→t)(t∨(s→q))
406,(((¬t)∨p)p)⊢(r∨p),((¬r)∨q)s((∨¬)(∨∨))∨
407,((q∨(t∨r))((r∨p)∨p))⊢((q∨(t∨r))∧((r∨p)∨p)),(s∨(p∨q))((p→s)∨s)((s→(p∨s))∧((t∨s)∨s))
408,(t(s∨(t→s)))⊢(t∨s),r(s∨(t→q))(r∨()∨(∨)
409,((q∨t)(¬p))⊢(q∨(q∨t)),(s∨q)(¬p)((∨(¬∨)))()∨(∨∨))
410,(t(p∨r))⊢(p∨(p∨t)),q(s∨r)(t∨()(t∨((∨∨))
411,(((s∧s)∧p)q)⊢(p∨(s∨((s∧s)∧p))),((s∧r)∧q)r(q∨((((r∧r)))(s∨(q∧((∧∧q)∧p)))
412,((s→q)(r∨(¬r)))⊢((s→q)∨p),(s→q)(t∨(¬s))((∨∨()∨))(()∨()∨)
413,((r∧(p→q))s)⊢(s→r),(r∧(p→q))s((s→s)
414,((p∧s)(r→t))⊢(p∨(p∧s)),(q∧q)(p→p)((∨(p∧∧))(∨(∧))
415,((r∧s)t)⊢(t∧(p∨t)),(s∧s)p(p∨p)(q∧(t∨q))
416,((¬r)(r∨p))⊢((¬r)∧(p∨(¬r))),(¬p)(s∨s)(t∨(¬p))((¬p)∧(p∨(¬s)))
417,(t((¬t)∧r))⊢(q∨(q∨t)),q((¬r)∧t)(s∨p)(s∨(p∨q))
418,(r((¬r)∨s))⊢(((¬r)∨s)∨q),q((¬s)∨s)(q∨((¬()∨t))(((¬p)∨)∨)
419,((s∧t)(r∧t))⊢((r∧t)∧r),(r∧q)(s∧t)q((p∧p)∧q)
420,((s∧q)(s∧t))⊢((s∧t)∧q),(r∧q)(s∧t)q((p∧p)∧q)
421,((p→r)p)⊢(p→(p∨t)),(t→s)p(p∨p)(q→(q∨q))
422,(p((p∧t)→q))⊢(s∨p),q((s∧t)→s)(s∨()(∧∨))
423,(p(p∧s))⊢((p∧s)∨s),p(s∧t)((∨(t∧∨))((∧)∨)
424,(p(p∧s))⊢(p∨s),q(s∧p)((∨∨))
425,(s(s∧r))⊢(t∨(s∧r)),p(s∧t)((∨(s∧t))(∨(∧))
426,((q∧q)s)⊢(r∨q),(t∧q)q((∨∨))
427,((t∧t)(r∧s))⊢((p∨(r∧s))∨r),(q∧q)(s∧p)(t∨(p∧p))((p∨(p∧p))∨q)
428,((s→(t∨s))(q∨q))⊢((q∨q)→(q∨(q∨q))),(r→(p→q))(p∨p)(t∨(p∨r))((s∨p)→(p∨(s→p)))
429,((s∧s)(¬t))⊢(r∨((s∧s)∨s)),(s∧q)(¬p)((s∧p)∨p)(p∨((p∧p)∨p))
430,(r(s∨s))⊢(r∧(t∨r)),t(s∨r)(t∨p)(r∧(t∨p))
431,((s∧q)(¬q))⊢(p∨(¬q)),(s∧q)(¬p)((∨(¬¬)))
432,((p∧q)q)⊢((p∧q)∨r),(s∧s)q((t∧p)∨r)(()∨
433,((q∨q)p)⊢(p∨(p∨t)),(t∨p)p(p∨()(t∨((∨∨))
434,(((t→r)∨s)q)⊢(((t→r)∨s)→q),((t→t)∨s)s(((t→t)∨t)→s)
435,(((q→r)→s)t)⊢(t∨((q→r)→s)),((t→t)→q)s(((((r)→))→))(→∨((→)→))
436,(s(p∧(r→p)))⊢(s∧(r→p)),q(r∧(p→p))(q∧()∧(q→t)))(∧(→))
437,(q(s∧(p→s)))⊢((p→s)∨r),q(r∧(p→p))(q→p)((q→q)∨q)
438,(q((q∧q)∧s))⊢(((q∧q)∧s)∨t),q((s∧p)∧p)((∨()(((∧∧p)∧r)∨r)
439,(((r∧q)∨t)p)⊢(q∨p),((s∧p)∨q)s((∨r)()∨)
440,(q(p∧s))⊢(q→(p∧s)),p(s∧t)(t→(r∧p))
441,(p(r∧q))⊢(t∨(r∧q)),p(s∧t)((∨(p∧t))(∨(∧))
442,((t∨s)s)⊢(p∨s),(s∨p)p((∨∨))))
443,((p∧s)(r→t))⊢((r→t)→s),(q∧q)(s→s)q((t→t)→q)
444,((s∨(r→r))s)⊢(s∨s),(t∨(p→p))s((∨∨)(∨))
445,((s∨(p→q))q)⊢((q∨t)∨r),(t∨(p→q))s(t∨s)((q∨t)∨s)
446,(r((q∨q)→s))⊢(r∧(r∨r)),q((q∨p)→p)(p∨p)(q∧(q∨p))
447,(t(t∨s))⊢(t→(t∨s)),t(s∨r)(t∨p)(r→(q∨p))
448,(p((p∨t)∨t))⊢((t∨p)∨s),p((s∨p)∨s)(s∨()((t∨∨)∨))
449,((s→q)(¬p))⊢((s→q)∨t),(s→q)(¬p)((s→p)∨))((→)∨)
450,((p∨t)p)⊢(p∨((p∨t)∨s)),(t∨p)p((p∨s)∨s)(s∨((t∨t)∨s))
451,((¬q)(s∧t))⊢((r∨(s∧t))∨t),(¬p)(p∧p)(s∨(p∧p))((p∨(p∨p))∨t)
452,((q→p)t)⊢(((q→p)→t)∨p),(s→s)q((t→p)→t)(((t→t)∧s)∨s)
453,(p(q→r))⊢(s∨((q→r)∨r)),t(s→s)((p→p)∨s)(s∨((s→p)∨s))
454,(r((p∨p)∨r))⊢(((p∨p)∨r)∨p),p((s∨p)∨s)(s∨((p∨()∨∨))(((r∨)∨)∨)
455,((s→(s∧q))s)⊢(p∨s),(t→(p∧p))s((∨s))
456,(p(q→s))⊢(s∨(s∨(q→s))),t(s→s)(t∨(t→s))(q∨(t∨(t→t)))
457,(q(p∧r))⊢((t∨q)∨r),t(s∧p)(t∨p)((p∨q)∨q)
458,(p(p→(t∧p)))⊢(p∧(p∨s)),q(r→(r∧p))(q∨p)(q∧(q∨p))
459,((r∨t)r)⊢(t∨r),(s∨p)p((∨∨))))
460,((r∧(p→q))s)⊢(r∨(r∧(p→q))),(q∧(p→s))s((∨((r∧t))→))(t∨(∧(→)))
461,((s∨r)(¬s))⊢(p∨(q∨(s∨r))),(s∨q)(¬p)(s∨(p∨r))(s∨(p∨(p∨p)))
462,(r(q∧s))⊢(t∨r),q(s∧q)((∨∨))
463,(q(p∧(p→p)))⊢(r∨q),q(r∧(p→p))((∨∨))
464,(r((q∨q)→r))⊢(r∨s),q((q∨p)→r)(s∨()(∨))
465,(p((r→t)∨r))⊢(s∨((r→t)∨r)),p((p→p)∨s)(s∨((s→∨)∨p))(∨((→)∨))
466,(r(s∧q))⊢(t∨(s∧q)),p(s∧t)((∨(s∧t))(∨(∧))
467,(r((t∧r)→s))⊢r,q((p∧p)→s)(q∧((s∧q)→r))s
468,(p(t→(t∨t)))⊢((t→(t∨t))∨s),r(t→(p∨s))((∨((((s∨()))((∨→(∨))∨)
469,((p→t)q)⊢(r∨(p→t)),(q→s)p((∨→))∨))(∨(→))
470,(((¬t)∨p)s)⊢(q∨((¬t)∨p)),((¬r)∨q)s((∨¬()∨))∨¬)(∨((¬)∨))
471,((s∧q)r)⊢(r∧(r∨q)),(s∧s)p(p∨p)(q∧(t∨p))
472,((p∨(¬r))p)⊢(p∨t),(q∨(¬q))s((∨∨)¬∨))∨
473,(((r→q)∨s)t)⊢((s∨t)∨q),((t→t)∨s)s(s∨s)((s∨t)∨s)
474,(t(s∧(p∨r)))⊢(p∨t),p(r∧(p∨s))((∨∨))
475,((q∧r)(t∨r))⊢((t∨r)∨s),(q∧p)(p∨p)((∨∨p)∨))(()∨)
476,((p∨p)(t∧t))⊢((p∨p)∨t),(q∨s)(p∧p)((∨∨p)∨))((∧)∨)
477,(((r→q)→s)(r∨q))⊢((r∨q)∧(((r→q)→s)∧(r∨q))),((t→t)∧q)(q∨p)(((q→s)∨()→(q∨())(()→q)∧(((p(p)→))→p))))
478,(((s∨p)∨q)(¬s))⊢(¬s),((s∨q)→q)(¬s)(((s∨s)→s)∧(¬s))(¬p)
479,((t∨p)(¬p))⊢(t∨(t∨p)),(s∨q)(¬p)((∨(¬∨)))()∨(∨∨))
480,((r→s)(t∧(¬r)))⊢((r→s)∧(t∧(¬r))),(s→s)(t∧(¬s))(t∨(p∧r))((s∧s)∧(r∧(¬s)))
481,((t∨r)(t∧q))⊢((t∧q)∨q),(q∨s)(p∧s)((∨∨p)∨))((∧)∨)
482,(s((s→s)∨q))⊢(s∨s),p((q→t)∨s)(s∨()(→∨))
483,(s(p→q))⊢((p→q)∧(s∨(p→q))),t(s→s)(p∨(t→p))((t→q)∧(t∨(t→t)))
484,((r∧q)(¬t))⊢(q∨(¬t)),(s∧q)(¬p)((∨(¬¬)))
485,(s(p∨s))⊢(s∧(s∨r)),t(s∨r)(t∨p)(r∧(q∨p))
486,((p∨q)(s∨t))⊢((p∨q)∧(s∨t)),(q∨p)(p∨p)((t∨p)∧(t∨p))
487,((s→s)(t∨(¬p)))⊢(t∨(¬p)),(s→q)(t∨(¬s))((s∨s)∧(¬∨(¬s)))(s∨(¬p))
488,((s∧q)(s∧t))⊢((s∧q)→(s∧t)),(q∧q)(r∧q)((s∧p)→(r∧p))
489,((p→r)r)⊢(s∨r),(s→s)p((∨→))∨))
490,(s((q→s)→q))⊢(((q→s)→q)∨p),p((q→p)→s)(s∨(((→()→∨)→(((r→)→)∨)
491,((r→s)(q∧q))⊢((r→s)→(t∨(r→s))),(q→r)(s→p)(t∨(s→p))((t→s)∧(s∨(t→t)))
492,(t(s∧q))⊢(s∨(t→(s∧q))),t(s∧p)(p→(t∧s))(q∨(s→(q∧q)))
493,((q→p)r)⊢r,(r→s)q((t→r)∧p)s
494,(r((t∨r)∨q))⊢(q∨(r∨p)),p((q∨p)∨s)(t∨r)(t∨(t∨s))
495,(p(p∨q))⊢((p∨q)∧(r∨(p∨q))),t(s∨s)(t∨(t∨s))((t∨s)→(r∨(t∨s)))
496,((s→p)p)⊢((s→p)→((s→p)→p)),(t→s)q((p→s)∨s)((s→p)∧((s→s)→t))
497,(s(p∧r))⊢(s→p),q(r∧q)q(q→r)
498,(t(p→(t∧s)))⊢((r∨t)∨t),q(r→(r∧p))(q∨p)((q∨p)∨s)
499,(s(q→(p∨q)))⊢(s∧(s∨p)),r(t→(p∨s))(s∨r)(s∧(t∨p))
500,((q∧t)((¬r)∧s))⊢(((¬r)∧s)→(¬r)),(s∧p)((¬p)→t)((s→((∧((¬∧))∧((¬))
501,(p(t→(s∧s)))⊢((t∨p)∨p),q(r→(r∧p))(q∨p)((q∨p)∨s)
502,((p→s)p)⊢((p→s)∨t),(s→s)s((t→))∨t)((→)∨)
503,(((q→q)∧p)t)⊢(t∧(s∨t)),((t→t)∧t)s(s∨q)(q∧(q∨p))
504,(p((q→t)∧q))⊢(q→t),q((q→p)∧p)t(q→p)
505,(s(t∧q))⊢(s∧(t∧q)),p(p∧s)(q∧(r∧p))
506,(s(s→p))⊢((s→p)∨s),t(s→r)(t∨()→())((∨→))∨)
507,(((q→q)∧p)t)⊢((((q→q)∧p)→t)∨r),((s→t)∧q)s(((s∧s)∨r)→r)(((s→t)∧q)∧(((q→p)∨p)→p))
508,(r(t∨(t∨s)))⊢(r→(q∨r)),r(s∨(t∨s))(t∨r)(r→(t∨p))
509,((¬p)((q→q)∧r))⊢(((q→q)∧r)∨r),(¬p)((s→t)∧t)(((()())()∨))))
510,(((s∨p)∧p)(p∨p))⊢(s∨p),((q∨p)∧p)(q∨q)q(q∨p)
511,(((q∧s)∨t)q)⊢(r∨q),((s∧p)∨q)s((∨r)()∨)
512,(r(p→(¬s)))⊢(r∧(r∨p)),q(s→(¬p))(s∨p)(s∧(q∨p))
513,((r∨p)(p∨(r∧p)))⊢((r∨p)→(t∨(r∨p))),(s∨p)(s→(p∨p))(p∨(s∨r))((p∨r)→(t∨(p∨r)))
514,(((p∧p)∧s)p)⊢((p∧p)∧s),((s∧p)∧q)s(((t∧r)∧q)∧s)((r∧p)∧q)
515,((t∨q)(q→s))⊢(s∨(q→s)),(q∨s)(p→p)((∨(p→∨))(p∨(t→p))
516,(r(s∨s))⊢(q∨(s∨s)),q(s∨r)(t∨()(t∨((∨∨))
517,(q(p∧p))⊢q,q(s∧q)(
518,(((r∧p)∨s)r)⊢(((r∧p)∨s)∧r),((s∧p)∨q)s(((t∧r)∨t)∧q)
519,((r→(t∧t))((p→p)∨s))⊢(t∨(r→(t∧t))),(r→(p→q))((p→t)∨s)((∨((→(s)))))(t∨(s→(r→r)))
520,((p→t)r)⊢(p∨(p→t)),(q→p)p((∨→))∨))(∨(→))
521,((p∨s)(¬t))⊢((¬t)∨s),(s∨q)(¬p)((¬())∨))((¬))∨)
522,((q∨r)(q→s))⊢((q→s)∨s),(q∨s)(p→p)((∨→p)∨))((r→p)∨p)
523,(((t→p)→q)p)⊢((p∨p)∨q),((t→t)→p)s(s∨s)((q∨t)∨s)
524,((q∨(r→s))q)⊢((q∨(r→s))→q),(t∨(p→s))s((t∨(p→s))→p)
525,(q(t→s))⊢(q→(q∨t)),t(s→p)(t∨p)(q→(q∨q))
526,((t→r)s)⊢(p∨(s∨p)),(t→p)p(p∨p)(t∨(q∨q))
527,(s(s∧(s∧p)))⊢(p∨(s∨s)),q(r∧(p∧p))(q∨p)(s∨(p∨s))
528,((¬r)(t→s))⊢(((¬r)∨s)∨r),(¬p)(p→p)((¬p)∨p)(((¬p)∨r)∨p)
529,((t∨p)(t→(q→p)))⊢((t→(q→p))∧((t∨p)→(t→(q→p)))),(s∨p)(s→(r→p))((p∨s)→()→(r∧p)))((∨→()→s))(((∨(t→((→→())))))
